ano,sigla_uf,id_municipio,id_municipio_tse,situacao_biometria,zona,secao,genero,estado_civil,grupo_idade,instrucao,eleitores,eleitores_biometria,eleitores_deficiencia,eleitores_inclusao_nome_social
2022,PB,2507507,20516,biometrico,76,305,feminino,casado(a),50 a 54 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,149,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,76,248,feminino,solteiro(a),25 a 29 anos,ensino medio completo,11,10,0,0
2022,PB,2507507,20516,biometrico,70,360,feminino,casado(a),35 a 39 anos,ensino medio completo,12,12,0,0
2022,PB,2507507,20516,biometrico,70,408,masculino,solteiro(a),35 a 39 anos,ensino medio completo,22,22,0,0
2022,PB,2507507,20516,biometrico,77,116,feminino,casado(a),45 a 49 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,273,feminino,solteiro(a),25 a 29 anos,ensino fundamental incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,64,368,feminino,solteiro(a),30 a 34 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,77,81,masculino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,64,294,feminino,casado(a),40 a 44 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,207,feminino,solteiro(a),30 a 34 anos,ensino medio completo,18,18,0,0
2022,PB,2507507,20516,biometrico,70,494,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,77,203,masculino,solteiro(a),30 a 34 anos,ensino fundamental incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,76,175,masculino,solteiro(a),35 a 39 anos,ensino superior completo,12,12,0,0
2022,PB,2507507,20516,biometrico,76,304,masculino,casado(a),45 a 49 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,215,masculino,solteiro(a),30 a 34 anos,ensino superior completo,13,13,0,0
2022,PB,2507507,20516,biometrico,77,352,feminino,solteiro(a),35 a 39 anos,ensino fundamental incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,64,447,masculino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,68,masculino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,64,456,feminino,solteiro(a),25 a 29 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,1,315,feminino,casado(a),40 a 44 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,1,131,masculino,solteiro(a),30 a 34 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,274,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,177,masculino,solteiro(a),35 a 39 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,76,233,feminino,solteiro(a),30 a 34 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,356,feminino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,213,masculino,solteiro(a),50 a 54 anos,ensino fundamental incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,64,159,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,70,591,feminino,solteiro(a),25 a 29 anos,ensino medio completo,16,16,0,0
2022,PB,2507507,20516,biometrico,64,259,masculino,casado(a),45 a 49 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,70,526,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,15,15,0,0
2022,PB,2507507,20516,biometrico,76,348,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,18,18,0,0
2022,PB,2507507,20516,biometrico,76,402,feminino,casado(a),35 a 39 anos,ensino superior completo,12,10,0,0
2022,PB,2507507,20516,biometrico,76,348,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,10,9,0,0
2022,PB,2507507,20516,biometrico,1,184,masculino,casado(a),45 a 49 anos,ensino superior completo,12,12,0,0
2022,PB,2507507,20516,biometrico,76,190,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,326,feminino,casado(a),35 a 39 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,466,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,77,329,feminino,casado(a),35 a 39 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,202,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,17,17,0,0
2022,PB,2507507,20516,biometrico,76,161,masculino,solteiro(a),35 a 39 anos,ensino superior completo,17,17,0,0
2022,PB,2507507,20516,biometrico,77,95,masculino,solteiro(a),40 a 44 anos,ensino fundamental incompleto,15,15,0,0
2022,PB,2507507,20516,biometrico,1,112,masculino,casado(a),55 a 59 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,419,feminino,casado(a),35 a 39 anos,ensino medio completo,15,15,0,0
2022,PB,2507507,20516,biometrico,70,424,masculino,solteiro(a),30 a 34 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,284,feminino,solteiro(a),35 a 39 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,64,115,feminino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,1,0
2022,PB,2507507,20516,biometrico,76,343,feminino,casado(a),35 a 39 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,592,feminino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,77,81,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,76,263,feminino,casado(a),55 a 59 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,1,52,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,76,288,feminino,casado(a),45 a 49 anos,ensino superior completo,11,11,0,0
2022,PB,2507507,20516,biometrico,64,103,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,516,masculino,solteiro(a),25 a 29 anos,ensino medio completo,22,22,0,0
2022,PB,2507507,20516,biometrico,76,314,feminino,casado(a),50 a 54 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,437,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,64,336,masculino,solteiro(a),35 a 39 anos,ensino medio completo,19,19,0,0
2022,PB,2507507,20516,biometrico,70,510,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,64,359,masculino,solteiro(a),30 a 34 anos,ensino fundamental incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,316,feminino,casado(a),65 a 69 anos,ensino superior completo,12,12,0,0
2022,PB,2507507,20516,biometrico,70,465,feminino,solteiro(a),30 a 34 anos,ensino medio completo,17,17,0,0
2022,PB,2507507,20516,biometrico,70,288,masculino,casado(a),45 a 49 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,70,478,feminino,solteiro(a),30 a 34 anos,ensino medio completo,29,29,0,0
2022,PB,2507507,20516,biometrico,77,314,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,107,feminino,casado(a),45 a 49 anos,ensino medio completo,12,12,0,0
2022,PB,2507507,20516,biometrico,1,50,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,130,feminino,casado(a),45 a 49 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,494,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,198,feminino,casado(a),45 a 49 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,77,370,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,33,32,0,0
2022,PB,2507507,20516,biometrico,1,201,feminino,solteiro(a),40 a 44 anos,ensino fundamental incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,64,156,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,77,182,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,1,56,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,304,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,1,259,feminino,solteiro(a),25 a 29 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,1,180,feminino,solteiro(a),40 a 44 anos,ensino fundamental incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,157,feminino,solteiro(a),40 a 44 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,294,feminino,casado(a),45 a 49 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,304,feminino,casado(a),35 a 39 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,335,masculino,solteiro(a),45 a 49 anos,ensino fundamental incompleto,13,13,1,0
2022,PB,2507507,20516,biometrico,77,203,masculino,solteiro(a),30 a 34 anos,ensino medio incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,70,510,masculino,solteiro(a),35 a 39 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,77,381,feminino,solteiro(a),21 a 24 anos,ensino medio completo,32,31,0,0
2022,PB,2507507,20516,biometrico,1,51,masculino,solteiro(a),25 a 29 anos,ensino fundamental incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,64,391,masculino,solteiro(a),21 a 24 anos,ensino superior incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,70,389,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,76,235,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,70,591,feminino,casado(a),55 a 59 anos,ensino medio completo,10,10,0,0
