id,turno,regiao,estado,municipio,zona,local,secao,vPresA22,vPresB13,vPresNulo,vPresBranco,vGovA,vGovB,vGovNulo,vGovBranco,qEleitAptos,qComparecimento,qEleitLibCodigo,qEleitBiometrico,modelUrna,jaVotou,arquivoBU,dataHoraAbertura,dataHoraEncerramento
594952,2,NE,PB,20516,70,2046,601,167,142,18,6,183,111,33,6,390,333,12,323,UE2020,,o00407-2051600700601.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:35.000000
594953,2,NE,PB,20516,70,1775,387,159,157,12,4,181,118,23,10,385,332,34,330,UE2020,,o00407-2051600700387.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:44.000000
594954,2,NE,PB,20516,70,1775,376,167,155,11,4,194,106,31,6,390,337,7,330,UE2020,,o00407-2051600700376.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:59.000000
594955,2,NE,PB,20516,70,1384,304,156,152,19,1,171,123,25,9,369,328,4,312,UE2020,,o00407-2051600700304.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:10.000000
594956,2,NE,PB,20516,70,2011,567,167,152,19,2,193,113,31,3,388,340,17,323,UE2020,,o00407-2051600700567.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:46.000000
594957,2,NE,PB,20516,70,1511,209,201,158,19,2,211,133,26,10,439,380,14,380,UE2020,,o00407-2051600700209.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:19.000000
594958,2,NE,PB,20516,70,1350,167,161,158,14,6,188,124,22,5,394,339,13,327,UE2020,,o00407-2051600700167.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:12.000000
594959,2,NE,PB,20516,70,1430,159,150,135,10,3,162,109,24,3,348,298,11,297,UE2020,1,o00407-2051600700159.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:40.000000
594960,2,NE,PB,20516,70,1970,558,188,137,14,10,208,106,25,10,391,349,14,336,UE2020,,o00407-2051600700558.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:57.000000
594961,2,NE,PB,20516,70,1775,406,162,159,13,5,200,114,19,6,391,339,12,328,UE2020,,o00407-2051600700406.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:22.000000
594962,2,NE,PB,20516,70,1937,482,164,154,13,2,192,113,21,7,381,333,5,280,UE2020,,o00407-2051600700482.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:42.000000
594963,2,NE,PB,20516,70,1503,205,171,165,6,3,194,129,17,4,399,345,14,330,UE2020,,o00407-2051600700205.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:52.000000
594964,2,NE,PB,20516,70,1457,174,155,154,14,2,162,132,27,4,399,325,14,316,UE2020,,o00407-2051600700174.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:29.000000
594965,2,NE,PB,20516,70,1457,536,169,153,16,7,194,114,25,8,397,345,20,332,UE2020,,o00407-2051600700536.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:24.000000
594966,2,NE,PB,20516,70,1406,133,144,163,20,3,178,122,23,7,379,330,19,321,UE2020,,o00407-2051600700133.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:49.000000
594967,2,NE,PB,20516,70,2046,668,115,121,2,5,129,97,8,9,268,243,4,140,UE2020,,o00407-2051600700668.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:05.000000
594968,2,NE,PB,20516,70,1848,520,168,178,12,2,200,139,19,2,396,360,15,354,UE2020,1,o00407-2051600700520.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:18.000000
594969,2,NE,PB,20516,70,1538,511,161,146,21,6,173,119,34,6,398,334,5,321,UE2020,,o00407-2051600700511.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:33.000000
594970,2,NE,PB,20516,70,2089,672,96,185,10,6,117,119,15,7,334,297,4,186,UE2020,2,o00407-2051600700672.bu,2022-10-30 08:02:43.000000,2022-10-30 17:01:42.000000
594971,2,NE,PB,20516,70,1996,620,153,153,13,5,189,107,24,4,393,324,17,314,UE2020,,o00407-2051600700620.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:31.000000
594972,2,NE,PB,20516,70,1503,424,166,151,26,5,198,113,28,8,400,348,12,334,UE2020,,o00407-2051600700424.bu,2022-10-30 08:00:01.000000,2022-10-30 17:04:40.000000
594973,2,NE,PB,20516,70,1775,466,183,141,10,5,201,104,22,12,391,339,10,329,UE2020,,o00407-2051600700466.bu,2022-10-30 08:00:59.000000,2022-10-30 17:03:05.000000
594974,2,NE,PB,20516,70,1350,505,155,148,18,6,184,102,30,11,386,327,22,317,UE2020,,o00407-2051600700505.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:06.000000
594975,2,NE,PB,20516,70,1430,165,165,132,14,4,184,107,19,5,347,315,18,314,UE2020,,o00407-2051600700165.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:45.000000
594976,2,NE,PB,20516,70,1406,132,163,142,29,6,204,100,32,4,386,340,20,326,UE2020,,o00407-2051600700132.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:00.000000
594977,2,NE,PB,20516,70,1996,670,62,99,6,0,80,79,6,2,194,167,5,94,UE2020,,o00407-2051600700670.bu,2022-10-30 08:00:01.000000,2022-10-30 17:08:17.000000
594978,2,NE,PB,20516,70,1970,624,164,137,11,3,183,106,18,8,383,315,17,307,UE2020,,o00407-2051600700624.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:01.000000
594979,2,NE,PB,20516,70,2011,538,169,153,15,2,196,118,21,4,391,339,27,323,UE2020,,o00407-2051600700538.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:13.000000
594980,2,NE,PB,20516,70,1783,547,160,159,21,2,192,114,29,7,393,342,18,329,UE2020,,o00407-2051600700547.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:31.000000
594981,2,NE,PB,20516,70,1996,631,166,148,4,5,190,113,10,10,386,323,14,309,UE2020,,o00407-2051600700631.bu,2022-10-30 08:00:01.000000,2022-10-30 17:05:38.000000
594982,2,NE,PB,20516,70,1783,347,176,153,16,3,196,120,23,9,389,348,15,335,UE2020,,o00407-2051600700347.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:10.000000
594983,2,NE,PB,20516,70,2011,591,176,134,15,2,204,94,23,6,384,327,11,315,UE2020,,o00407-2051600700591.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:38.000000
594984,2,NE,PB,20516,70,1775,518,167,152,14,4,198,114,17,8,393,337,13,328,UE2020,,o00407-2051600700518.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:12.000000
594985,2,NE,PB,20516,70,1929,494,167,149,12,3,188,114,25,4,381,331,9,315,UE2020,,o00407-2051600700494.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:12.000000
594986,2,NE,PB,20516,70,1902,442,165,156,25,6,206,107,30,9,397,352,15,334,UE2020,,o00407-2051600700442.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:20.000000
594987,2,NE,PB,20516,70,1783,449,151,170,14,5,200,110,22,8,391,340,12,326,UE2020,,o00407-2051600700449.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:40.000000
594988,2,NE,PB,20516,70,1791,379,146,134,18,5,179,92,24,8,335,303,12,301,UE2020,,o00407-2051600700379.bu,2022-10-30 08:00:01.000000,2022-10-30 17:06:04.000000
594989,2,NE,PB,20516,70,1791,450,132,138,16,5,164,85,28,14,333,291,8,291,UE2020,,o00407-2051600700450.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:13.000000
594990,2,NE,PB,20516,70,1422,152,139,160,14,5,162,124,25,7,365,318,8,301,UE2020,,o00407-2051600700152.bu,2022-10-30 08:00:12.000000,2022-10-30 17:04:17.000000
594991,2,NE,PB,20516,70,1775,569,170,148,15,3,193,113,24,6,391,336,4,326,UE2020,,o00407-2051600700569.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:21.000000
594992,2,NE,PB,20516,70,1406,141,152,159,10,2,176,123,19,5,379,323,26,310,UE2020,,o00407-2051600700141.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:59.000000
594993,2,NE,PB,20516,70,1970,669,165,114,8,6,191,82,15,5,326,293,4,173,UE2020,,o00407-2051600700669.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:45.000000
594994,2,NE,PB,20516,70,1520,364,172,155,12,4,198,113,21,11,380,343,3,331,UE2020,,o00407-2051600700364.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:29.000000
594995,2,NE,PB,20516,70,1511,650,161,139,11,4,191,98,17,9,363,315,13,311,UE2020,,o00407-2051600700650.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:35.000000
594996,2,NE,PB,20516,70,1384,353,153,150,16,4,188,111,20,4,369,323,9,309,UE2020,,o00407-2051600700353.bu,2022-10-30 08:00:01.000000,2022-10-30 17:05:35.000000
594997,2,NE,PB,20516,70,1422,153,162,151,8,5,175,125,19,7,365,326,20,310,UE2020,,o00407-2051600700153.bu,2022-10-30 08:00:01.000000,2022-10-30 17:04:12.000000
594998,2,NE,PB,20516,70,1775,549,164,151,17,4,194,115,19,8,391,336,20,328,UE2020,,o00407-2051600700549.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:55.000000
594999,2,NE,PB,20516,70,1910,444,154,155,18,3,182,124,20,4,394,330,14,314,UE2020,,o00407-2051600700444.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:58.000000
595000,2,NE,PB,20516,70,1511,634,189,158,11,5,221,113,23,6,426,363,14,363,UE2020,,o00407-2051600700634.bu,2022-10-30 08:00:02.000000,2022-10-30 17:01:30.000000
595001,2,NE,PB,20516,70,1511,208,187,162,19,5,192,136,31,14,433,373,19,373,UE2020,1,o00407-2051600700208.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:07.000000
595002,2,NE,PB,20516,70,1821,468,181,137,15,4,193,108,27,9,390,337,10,332,UE2020,,o00407-2051600700468.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:57.000000
595003,2,NE,PB,20516,70,1449,455,155,173,18,3,194,115,31,9,395,349,4,343,UE2020,,o00407-2051600700455.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:02.000000
595004,2,NE,PB,20516,70,1546,224,147,138,19,2,152,112,36,6,340,306,8,292,UE2020,1,o00407-2051600700224.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:46.000000
595005,2,NE,PB,20516,70,1538,220,144,184,22,4,186,133,24,7,400,354,21,347,UE2020,,o00407-2051600700220.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:50.000000
595006,2,NE,PB,20516,70,1392,358,150,149,15,2,183,110,17,6,346,316,4,299,UE2020,,o00407-2051600700358.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:02.000000
595007,2,NE,PB,20516,70,1953,498,160,147,14,3,190,100,28,6,384,324,12,318,UE2020,1,o00407-2051600700498.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:44.000000
595008,2,NE,PB,20516,70,1929,443,186,142,14,5,209,121,12,5,380,347,12,332,UE2020,,o00407-2051600700443.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:22.000000
595009,2,NE,PB,20516,70,1406,137,165,148,16,6,184,124,20,7,380,335,14,325,UE2020,,o00407-2051600700137.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:56.000000
595010,2,NE,PB,20516,70,1902,507,137,171,20,8,170,132,28,6,394,336,9,310,UE2020,,o00407-2051600700507.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:52.000000
595011,2,NE,PB,20516,70,2097,665,112,109,3,2,130,69,9,2,268,226,5,113,UE2020,1,o00407-2051600700665.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:17.000000
595012,2,NE,PB,20516,70,2119,626,147,159,8,1,177,116,12,10,393,315,1,285,UE2020,,o00407-2051600700626.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:49.000000
595013,2,NE,PB,20516,70,1384,506,153,156,16,3,191,115,17,5,370,328,18,316,UE2020,1,o00407-2051600700506.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:26.000000
595014,2,NE,PB,20516,70,1775,356,167,150,13,6,192,118,18,8,389,336,12,325,UE2020,,o00407-2051600700356.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:37.000000
595015,2,NE,PB,20516,70,1937,456,177,139,17,10,210,95,15,17,393,343,15,294,UE2020,,o00407-2051600700456.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:46.000000
595016,2,NE,PB,20516,70,1783,386,158,156,16,3,179,125,23,6,385,333,15,322,UE2020,2,o00407-2051600700386.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:26.000000
595017,2,NE,PB,20516,70,1775,543,161,139,15,3,176,110,26,6,382,318,24,304,UE2020,,o00407-2051600700543.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:37.000000
595018,2,NE,PB,20516,70,2119,621,132,156,16,2,169,109,20,8,389,306,14,290,UE2020,,o00407-2051600700621.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:07.000000
595019,2,NE,PB,20516,70,1902,289,170,164,11,2,208,111,23,4,396,347,13,329,UE2020,,o00407-2051600700289.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:55.000000
595020,2,NE,PB,20516,70,2089,653,145,143,12,9,176,99,18,16,393,309,3,296,UE2020,,o00407-2051600700653.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:46.000000
595021,2,NE,PB,20516,70,1970,495,191,129,13,6,212,101,20,6,393,339,3,331,UE2020,,o00407-2051600700495.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:00.000000
595022,2,NE,PB,20516,70,1970,617,150,160,17,5,180,112,25,15,391,332,16,325,UE2020,,o00407-2051600700617.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:11.000000
595023,2,NE,PB,20516,70,1775,435,175,140,15,4,197,106,21,10,388,334,15,326,UE2020,3,o00407-2051600700435.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:43.000000
595024,2,NE,PB,20516,70,1775,427,187,147,11,4,218,105,18,8,388,349,18,340,UE2020,,o00407-2051600700427.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:34.000000
595025,2,NE,PB,20516,70,1848,440,170,152,13,3,196,112,27,3,384,338,13,327,UE2020,,o00407-2051600700440.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:46.000000
595026,2,NE,PB,20516,70,1422,510,175,156,18,3,196,116,18,6,396,352,10,327,UE2020,1,o00407-2051600700510.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:08.000000
595027,2,NE,PB,20516,70,1538,217,146,183,13,6,187,123,26,9,399,348,19,330,UE2020,,o00407-2051600700217.bu,2022-10-30 08:01:44.000000,2022-10-30 17:01:31.000000
